d,baseline.off_p50.mean,baseline.off_p50.std,baseline.off_p95.mean,baseline.off_p95.std,baseline.eff_rank.mean,baseline.eff_rank.std,baseline.val_acc.mean,baseline.val_acc.std,baseline.test_acc.mean,baseline.test_acc.std,local.off_p50.mean,local.off_p50.std,local.off_p95.mean,local.off_p95.std,local.eff_rank.mean,local.eff_rank.std,local.val_acc.mean,local.val_acc.std,local.test_acc.mean,local.test_acc.std,multiscale.off_p50.mean,multiscale.off_p50.std,multiscale.off_p95.mean,multiscale.off_p95.std,multiscale.eff_rank.mean,multiscale.eff_rank.std,multiscale.val_acc.mean,multiscale.val_acc.std,multiscale.test_acc.mean,multiscale.test_acc.std
4,0.03563,0,0.2134,0,98.78,1.740467143e-14,0.7094017094,0.06452849945,0.7606837607,0.05921541222,0.2412,0,0.435,0,42.45,0,0.7094017094,0.06452849945,0.7606837607,0.05921541222,0.1655,0,0.3599,6.798699778e-17,57.49,0,0.7094017094,0.06452849945,0.7606837607,0.05921541222
6,0.006444,1.06229684e-18,0.06095,0,179.9,0,0.7094017094,0.06452849945,0.7606837607,0.05921541222,0.2438,0,0.385,0,56.6,0,0.7094017094,0.06452849945,0.7606837607,0.05921541222,0.1534,0,0.2584,0,100.1,1.740467143e-14,0.7094017094,0.06452849945,0.7606837607,0.05921541222
8,0.001163,0,0.01601,0,193.4,0,0.7094017094,0.06452849945,0.7606837607,0.05921541222,0.2451,0,0.3579,6.798699778e-17,64.49,0,0.7094017094,0.06452849945,0.7606837607,0.05921541222,0.1521,0,0.2245,0,113.8,0,0.7094017094,0.06452849945,0.7606837607,0.05921541222
10,0.0002167,0,0.004138,0,194.9,0,0.7094017094,0.06452849945,0.7606837607,0.05921541222,0.2463,0,0.3406,0,69.59,0,0.7094017094,0.06452849945,0.7606837607,0.05921541222,0.153,0,0.2115,0,118.4,1.740467143e-14,0.7179487179,0.07692307692,0.7521367521,0.05337605127
12,4.112e-05,8.299194064e-21,0.001046,0,195,0,0.7094017094,0.06452849945,0.7606837607,0.05921541222,0.2468,0,0.3303,0,72.82,0,0.7094017094,0.06452849945,0.7606837607,0.05921541222,0.1537,0,0.2047,0,120.5,0,0.7094017094,0.06452849945,0.7606837607,0.05921541222
14,7.128e-06,0,0.0002529,0,195,0,0.7094017094,0.06452849945,0.7606837607,0.05921541222,0.2474,3.399349889e-17,0.3218,0,75.17,0,0.7094017094,0.06452849945,0.7606837607,0.05921541222,0.155,0,0.2003,0,121.6,1.740467143e-14,0.7094017094,0.06452849945,0.7606837607,0.05921541222
16,1.399e-06,2.593498145e-22,6.27e-05,0,195,0,0.7094017094,0.06452849945,0.7606837607,0.05921541222,0.2479,0,0.3172,0,76.71,0,0.7094017094,0.06452849945,0.7606837607,0.05921541222,0.1552,0,0.1975,0,122.5,0,0.7094017094,0.06452849945,0.7606837607,0.05921541222
18,2.527e-07,0,1.514e-05,0,195,0,0.7094017094,0.06452849945,0.7606837607,0.05921541222,0.2479,0,0.3106,0,78.45,0,0.7094017094,0.06452849945,0.7606837607,0.05921541222,0.156,0,0.195,3.399349889e-17,123,0,0.7094017094,0.06452849945,0.7606837607,0.05921541222
20,4.647e-08,0,3.457e-06,5.18699629e-22,195,0,0.7094017094,0.06452849945,0.7606837607,0.05921541222,0.2479,0,0.3069,0,79.55,0,0.7094017094,0.06452849945,0.7606837607,0.05921541222,0.156,0,0.1928,0,123.6,1.740467143e-14,0.7094017094,0.06452849945,0.7606837607,0.05921541222
