out_prefix,dataset,feature_map,depth,best_C,val_acc,test_acc
outputs\multiscale\ms_circles_baseline,make_circles,zz_qiskit,1,10.0,0.8,0.8333333333333334
outputs\multiscale\ms_circles_local1q,make_circles,zz_qiskit,1,10.0,0.5333333333333333,0.43333333333333335
outputs\multiscale\ms_circles_ms_local1q_baseline,make_circles,zz_qiskit,1,10.0,0.8,0.8333333333333334
outputs\multiscale\ms_circles_default_pairs_all,make_circles,zz_qiskit,1,10.0,0.8,0.8333333333333334
outputs\multiscale\ms_iris_baseline,iris,zz_manual_canonical,1,1.0,0.8666666666666667,0.8666666666666667
outputs\multiscale\ms_iris_local1q,iris,zz_manual_canonical,1,10.0,0.9,0.7
outputs\multiscale\ms_iris_local2q,iris,zz_manual_canonical,1,1.0,0.8,0.6666666666666666
outputs\multiscale\ms_iris_ms_local1q_baseline,iris,zz_manual_canonical,1,10.0,0.9,0.8333333333333334
outputs\multiscale\ms_iris_ms_local2q_baseline,iris,zz_manual_canonical,1,10.0,0.9,0.8333333333333334
outputs\multiscale\ms_iris_default_pairs_all,iris,zz_manual_canonical,1,1.0,0.8666666666666667,0.8666666666666667
